Date,tweet_id,tweet_content,likes,retweets,username,followers,tweet_language,verified
2023-04-11 19:28:38+00:00,1645871499209842691,"There goes #DilliKaMaalik #Kejriwal ‘s #DegreeDikhao jumla 
😂😂😂
@elonmusk wacky his 🍑 in one tweet😂😂😂 https://t.co/QCio3xUiIi",185,35,mjavinod,27900,en,FALSE
2023-04-11 19:21:08+00:00,1645869609684447233,"Aap log bhi dekh lo🥳🤝🏻
Good night https://t.co/RBseEBpclm https://t.co/2eCHzcon2H",240,36,High_Heel_Babe,7741,en,FALSE
2023-04-11 18:30:00+00:00,1645856742834860032,"❤️V for Valued ❤️
You are a very dear and valued person in my life Dada🥺❤️ Always stay happy, kyuki aap khush toh h… https://t.co/dJV76xbbGw",10,7,__GoldenBliss__,377,en,FALSE
2023-04-11 17:35:45+00:00,1645843087875543041,"was in an e rick today when the dude decided to hit me w the ""aap ladka ho ya ladki"" question &amp; i said ""sir mujhe k… https://t.co/rcpzjgAzgA",1637,95,psydukh,616,en,FALSE
2023-04-11 17:23:20+00:00,1645839966235398150,"There are YouTube Channel which make informative videos for UPSC exam are turning into propaganda factory.

For The… https://t.co/RpnxWgcHgu",71,25,sdhruv86,3546,en,FALSE
2023-04-11 16:57:04+00:00,1645833355571904512,"AAP’s rise and national party status are a result of people’s overwhelming support for a new, fresh brand of politi… https://t.co/omkHdibz8S",565,196,raghav_chadha,798619,en,TRUE
2023-04-11 16:56:12+00:00,1645833136960593920,"Elon Musk too knew all about #Kejriwal 
🤣🤣🤣 https://t.co/9OKUsIXbTu",2459,686,NagarJitendra,20357,en,FALSE
2023-04-11 16:54:19+00:00,1645832660848377857,"Over 33% of Delhi AAP MLAs studied only till class XII

Over 20% of Punjab AAP MLAs have not even passed 12th stand… https://t.co/G6T9fi1Ip2",238,84,mvmeet,187449,en,FALSE
2023-04-11 16:44:41+00:00,1645830237853462528,"#KarnatakaElections2023

Former AAP leader, @Nimmabhaskar22 has been made a scapegoat with Chamrajpet BJP ticket...… https://t.co/tpUeMJ800N",53,17,AAPforNewIndia,843,en,FALSE
2023-04-11 15:52:27+00:00,1645817092653088769,"Atyany buddhiman kattr imaandar #KejriwalExposed ji  IIT se bahut padha likha, Bharat Ratna davedaar Shri Shri jhad… https://t.co/eNukm7kYGV",19,6,Tension_Com,1658,en,FALSE
2023-04-11 15:28:35+00:00,1645811087328026626,"Salaam 
Ramadan ka 3isra ashra  shuru ho gya...in 10 raton me aap ki kismat badal skti hy just isliye q k apne  us… https://t.co/kG3BA9fSGt",13,3,thevirgo28,4455,en,FALSE
2023-04-11 14:16:45+00:00,1645793009970335746,indian bts army aap humare dil me rehte hai to chup chap wahi padhe  raho bsdk 😊 https://t.co/ByvAH8prFu,563,79,mimilostjams,3382,en,FALSE
2023-04-11 14:05:19+00:00,1645790130840678402,"Shocking…

AAP Assam spokesperson Sushant Nath taken by some police personals for a social media post criticising g… https://t.co/WV1akjfP4H",219,171,beingAAPian,22297,en,TRUE
2023-04-11 14:04:24+00:00,1645789901290635267,"Shopkeeper: It's ₹ 97 
Me: Yeh lo ₹100
Shopkeeper: aap aur ₹ 2 de do, mein ₹ 5 deta hoon
Me: https://t.co/DLHxVSKEpk",4039,344,Madan_Chikna,133372,en,FALSE
2023-04-11 13:54:59+00:00,1645787530296705027,"AAP celebrates national party status; party MP @raghav_chadha hails @ArvindKejriwal's leadership. Listen in. 
Full… https://t.co/dgpgdtMGIB",260,93,IndiaToday,6258137,en,TRUE
2023-04-11 13:42:32+00:00,1645784397973716996,"It appears BJP has 
taken AAP symbol for a 
moment in Karnataka! https://t.co/LFotdh1iwK",444,26,VishweshwarBhat,193582,en,FALSE
2023-04-11 13:33:45+00:00,1645782188636667904,Just FYI Municipality is under AAP now 😂 https://t.co/8M8pm7tYs1,469,112,NindaTurtles,24502,en,FALSE
2023-04-11 13:30:01+00:00,1645781246709047296,"AAP’s ‘Degree Dikhao’ campaign: 40% of party’s Punjab MLAs are not graduates, 19 have not even passed 12th standard
 https://t.co/iifZ6qfSu3",2983,1102,OpIndia_com,627871,en,TRUE
2023-04-11 13:25:31+00:00,1645780115056644096,"This 43 seconds video is enough to give endless nightmares to the entire RSS-BJP-AAP ecosystem.

Rahul Thalaiva Gan… https://t.co/sSGq5R6X9K",388,102,mr_mayank,26236,en,FALSE
2023-04-11 13:23:05+00:00,1645779504844144641,"Modi govt spending 35% of resources to 20% population, and you saying Modi treating citizens Equally ?????

Are you… https://t.co/2uyJF8sNDJ",1060,530,KhushiViews,9768,en,FALSE
2023-04-11 13:12:25+00:00,1645776819113828352,"51 justice for legend
#AAP_Slaves_Of_Gangsters 
#JusticeForSidhuMooseWala",11,21,diwansh17107841,175,en,FALSE
2023-04-11 13:11:21+00:00,1645776551928295425,Kejriwal Govt sped up anti encroachment drive in New Delhi. In this video Madarsa can be seen removed from encroach… https://t.co/PKILem5on0,2280,616,BefittingFacts,247871,en,FALSE
2023-04-11 12:51:52+00:00,1645771649646559233,Let us congratulate AAP for national party status.🤭🤭😛😛🙋🙋🙋🙋 https://t.co/PCp5cJr3PV,46,17,KaffirBaba_2,3611,en,FALSE
2023-04-11 12:35:26+00:00,1645767514474053632,"Gujarat Police arrested Kajal Hindustani for a speech  

Modi visited church

BJP Delhi protesting against Kejriwal… https://t.co/BVrwKvSoTA",1173,341,RoshanKrRaii,7338,en,FALSE
2023-04-11 12:22:29+00:00,1645764254426107905,"Participate in The KKR Quiz and stand a chance to win exciting gifts! 😁

KKR hai taiyaar, kya aap?

#BaazarKolkata… https://t.co/NDHrPX2Z7C",117,91,BaazarKolkata,672,en,FALSE
2023-04-11 10:22:44+00:00,1645734116040781824,"Celebrating India 🇮🇳 Celebrating AAP

Within ten years of its formation, AAP has become a national party, an unpara… https://t.co/hw8cJOuDEW",1649,306,raghav_chadha,798619,en,TRUE
2023-04-11 09:57:43+00:00,1645727819639717889,"Glimpses of the Celebration at HQ on AAP becoming National Party! 
Amazing enthusiasm!
Under the leadership of Sri… https://t.co/DVd7sFjebj",229,88,attorneybharti,197501,en,TRUE
2023-04-11 09:35:13+00:00,1645722158218489857,"Is he going to AAP?🤔
Just a question. 
Arvind Kejriwal must be desperate to open account in Rajasthan https://t.co/PP757seGO8",28,3,anushakunmittal,12791,en,FALSE
2023-04-11 09:26:55+00:00,1645720068620419074,"▪︎Nationalist Congress Party (NCP)

▪︎Trinamool Congress (TMC)

▪︎Communist Party of India @cpimspeak (CPIM)

Have… https://t.co/zllrjO1uPj",82,63,mekarora,2612,en,FALSE
2023-04-11 08:43:30+00:00,1645709142953439234,"Delhi government gives notice to the Delhi Haj Committee to vacate the office!  

Delhi Pradesh BJP's Minority Fron… https://t.co/eULz9WR4Wi",173,95,gganeshhh,7840,en,FALSE
2023-04-11 08:01:49+00:00,1645698656455237632,"A special hug bhari tweet to those ..

Who hv no one jinko wo aise mention karke Masti karpayein. Jinki Bina Ht Wal… https://t.co/5vTwPtKZjj",60,7,tweetwithapoo,1430,en,FALSE
2023-04-11 08:01:21+00:00,1645698536183562241,"AAP officially becomes national party after AAP gets 5 MLAs and 13% votes in Gujarat. 

Celebrations going on at AA… https://t.co/h0NkNs0huI",685,282,HasanSafin,50027,en,TRUE
2023-04-11 07:58:47+00:00,1645697890331811841,"Akshnav fd makes so beautiful edits and vm ❤❤❤❤

If possible someone please make vm on this song from abhinav persp… https://t.co/nJxbwhp6KZ",25,2,PoojaSh71747412,436,en,FALSE
2023-04-11 07:42:14+00:00,1645693724918202370,"Watch| ""Die-Hard Honesty, Patriotism and Humanity Are Three Pillars Of AAP's Ideology"": Arvind Kejriwal https://t.co/RL1Y8IEJwD",66,19,ndtv,17742352,en,TRUE
2023-04-11 07:37:29+00:00,1645692529344643073,"Aap sab fans ki power mein hai bada dum! #KisiKaBhaiKisiKiJaan Trailer trends at #1 on YouTube🔥

@BeingSalmanKhan… https://t.co/wgM2YsTFgY",1665,417,farhad_samji,8037,en,TRUE
2023-04-11 07:21:03+00:00,1645688394037755904,Dhan Guru Teg Bahadur Sahib ji ke Prakash purab ki aap sabhi ko bahut-bahut  badhaiyan. May Guru Sahib bless all of… https://t.co/EXZY8V63Sy,111,25,ACP_SURINDER_K,14004,en,FALSE
2023-04-11 07:13:52+00:00,1645686588637319168,"All ""anti-national forces"" that want to halt the country's progress are against AAP, said Kejriwal #AAP #Kejriwal https://t.co/Xnx7VRXhzf",43,5,republic,2860285,en,TRUE
2023-04-11 07:02:27+00:00,1645683716465852419,Aap sab fans ki power mein hai bada dum! #KisiKaBhaiKisiKiJaan Trailer trends at #1 on YouTube🔥… https://t.co/vcRtCHAeuU,510,204,ZeeStudios_,116768,en,TRUE
2023-04-11 07:00:48+00:00,1645683298860158977,Aap sab fans ki power mein hai bada dum! #KisiKaBhaiKisiKiJaan Trailer trends at #1 on YouTube🔥… https://t.co/hXMPsmLiUm,2862,852,SKFilmsOfficial,302754,en,TRUE
2023-04-11 06:51:44+00:00,1645681016181235712,"SHARE MAX

Arvind Kejriwal addresses AAP volunteers as AAP gets National Party status.

AAP Convener… https://t.co/OEeJordH8y",462,218,DaaruBaazMehta,107509,en,FALSE
2023-04-11 06:46:18+00:00,1645679648821456897,"Die-hard honesty, patriotism and humanity three pillars of AAP's ideology: Arvind Kejriwal",84,11,PTI_News,4063719,en,TRUE
2023-04-11 06:45:59+00:00,1645679572355272705,"#WATCH | AAP National Convenor and Delhi CM Arvind Kejriwal says, ""Anti-national forces worked to put Manish Sisodi… https://t.co/wCTkwUqVpO",214,63,ANI,7641854,en,TRUE
2023-04-11 06:44:57+00:00,1645679311133761536,All anti-national forces that don't want good things for country against AAP: Arvind Kejriwal,298,51,PTI_News,4063719,en,TRUE
2023-04-11 06:42:55+00:00,1645678798459883520,"Miraculous, incredible that AAP attained national party status in a short span of 10 years: Arvind Kejriwal",95,9,PTI_News,4063719,en,TRUE
2023-04-11 06:22:47+00:00,1645673732348997632,We are now a National Party 🇮🇳 | AAP National Convenor @ArvindKejriwal along with other Senior AAP Leaders addressi… https://t.co/pe1ztv3n3M,883,348,AamAadmiParty,6475163,en,TRUE
2023-04-11 06:13:40+00:00,1645671439297826816,Great opportunity for AAP to use this pic in Delhi and showcase how BJP leaders behave personally with general publ… https://t.co/o2rc1AA2e7,16,8,SecularTrainee,4434,en,FALSE
2023-04-11 06:01:53+00:00,1645668470724472835,The most scary situation for the nation would be for its PM to have ‘degrees’ but to not have ‘wisdom’ &amp; ‘character… https://t.co/LwUyzTifj0,46,16,Randeep_Sisodia,1987,en,FALSE
2023-04-11 05:58:38+00:00,1645667656316653569,"AAP Gets ‘National Party’ Status

Now Kejriwal all over the country👇 https://t.co/LoVJo7RCGl",2335,560,desi_urbann,11481,en,FALSE
